t,plant,axis,metamer,organ,element,Ag,Nstruct,Tr,Ts,green_area,is_growing,mstruct,senesced_mstruct,amino_acids,cytokinins,fructan,nitrates,proteins,starch,sucrose,triosesP,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Transpiration,sum_respi,nb_replications,Amino_Acids_import,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,Nitrates_import,Regul_S_Fructan,S_Fructan,S_Starch,S_Sucrose,S_Amino_Acids,S_Proteins,cytokinins_import,Total_Organic_Nitrogen
0,1,MS,1,blade,LeafElement1,0.0,0.00054,0.187263843,18.78950233,0.000294284,False,0.018,0,0.4,2.7,0,0,0.8,0,16,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.77142857142857
0,1,MS,1,sheath,StemElement,0.0,0.0003,0.1803941,18.59999907,0.000174251,False,0.01,0,0.2,1.5,0,0,0.4,0,8,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.02857142857143
0,1,MS,2,blade,LeafElement1,0.0,0.0006,0.188262663,18.81706882,0.00028853,False,0.02,0,0.5,3.0,0,0,1.0,0,10,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.357142857142854
0,1,MS,2,sheath,StemElement,0.0,0.00036,0.0,0.0,1.26e-06,False,0.012,0,0.25,1.8,0,0,0.5,0,20,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.464285714285715
0,1,MS,3,blade,LeafElement1,0.0,0.00066,0.189212645,18.84329084,0.000229007,False,0.022,0,0.6,3.3,0,0,1.2,0,24,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.94285714285714
0,1,MS,3,sheath,StemElement,0.0,0.00042,0.0,0.0,4.06e-06,False,0.014,0,0.3,2.1,0,0,0.6,0,12,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9
0,1,MS,4,blade,LeafElement1,0.0,5.26e-08,0.0,18.0,5.92e-08,True,1.63e-06,0,0.0,0.0,0,0,0.0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003757142857142857
4,1,MS,1,blade,LeafElement1,0.0,0.00054,0.187263843,18.78950233,0.000294284,False,0.018,0,4.4250437267827705,2.1781524007371726,0.703932506341386,0.03407071815529005,1.280833410223904,0.0,22.52195730216712,0.0,0.0,0.0,0.0,0.2311997287308996,5.510875277341201e-05,0.2311997287308996,1,0.3094485391519315,0.703932506341386,0.11406155189243962,0.0,6.534457202211519,0.027008361691489517,-0.49880490432773933,0.010120341699512234,0.015,10.808429958706393,0,0,0,8.031972791210244,0.0007643750806699823,44.27730570843524
4,1,MS,1,sheath,StemElement,0.0,0.0003,0.1803941,18.59999907,0.000174251,False,0.01,0,2.561620665691367,1.210124571897981,0.3949516869405687,0.01943382618915528,0.679686217660004,0.0,12.71198677893848,0.0,0.0,0.0,0.0,0.12753151950771788,3.14338523191e-05,0.12753151950771788,1,0.17650843451416404,0.3949516869405687,0.10900081727503837,0.0,6.534672688249097,0.0632196147298102,-0.29049652242885154,0.005772609801374042,0.015,10.946029958872519,0,0,0,8.198610193269372,0.00043599704571381005,24.669878311922798
4,1,MS,2,blade,LeafElement1,0.0,0.0006,0.188262663,18.81706882,0.00028853,False,0.02,0,4.812937718965134,2.419832067780428,0.6325473279655559,0.03358272081583295,1.5285063161715795,0.0,21.751706582507786,0.0,0.0,0.0,0.0,0.23788909048459497,5.431942615539e-05,0.23788909048459497,1,0.3050162855339819,0.6325473279655559,0.12243050114747794,0.0,6.533546583007156,-0.0047741002036261445,-1.1409154713749448,0.009975387319583733,0.015,9.647438942955855,0,0,0,7.945591145100816,0.0007534268815734383,49.198586892279565
4,1,MS,2,sheath,StemElement,0.0,0.00036,0.0,0.0,1.26e-06,False,0.012,0,2.6752366289525136,1.450309072785292,0.21550210297191583,0.0,0.815928035673387,0.0,19.157211962707585,0.0,0.0,0.0,4.352559179940912e-05,0.04772694870979564,0.0,0.04777047430159505,1,0.0,0.21550210297191583,0.1092924554364703,0.0,6.526390827533815,-0.08406604460062858,0.6045221083251267,0.0,5.472017460636891e-06,0.004767511951573032,0,0,0,7.636480418796181,0.0,29.205450378911614
4,1,MS,3,blade,LeafElement1,0.0,0.00066,0.189212645,18.84329084,0.000229007,False,0.022,0,5.0841848216557395,2.6610141151702598,0.9221938661040513,0.02678919231696299,1.7710013068711905,0.0,28.983812726524587,0.0,0.0,0.0,0.0,0.29402755070139525,4.333102019351501e-05,0.29402755070139525,1,0.2433138153929568,0.9221938661040513,0.12894213846870944,0.0,6.531580100872456,-0.07023030443110578,-0.30893471315639204,0.007957442483771998,0.015,11.261209895802697,0,0,0,7.7817796550852725,0.0006010143650340502,53.99804327138408
4,1,MS,3,sheath,StemElement,0.0,0.00042,0.0,0.0,4.06e-06,False,0.014,0,3.0747927810211557,1.6920272515828394,0.5562173404420895,0.0,0.96342972524885,0.0,17.974681002510234,0.0,0.0,0.0,0.0,0.04955886620097045,0.0,0.04955886620097045,1,0.0,0.5562173404420895,0.11059938770291801,0.0,6.52639082753381,-0.10986494215599985,-0.32645735356176075,0.0,0.015,11.033092283765788,0,0,0,7.576154064707463,0.0,34.03822250627
4,1,MS,4,blade,LeafElement1,0.0,5.26e-08,0.0,18.0,5.92e-08,True,1.63e-06,0,0.0,0.0,0,0,0.0,0,0,0,NA,NA,NA,NA,0.0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003757142857142857
8,1,MS,1,blade,LeafElement1,0.228352032,0.00054,0.065656899,16.44302045,0.000294284,False,0.018,0,4.094733413310899,1.755822513452819,1.3781400314965044,0.000393914601839368,1.8368839333297184,0.009657083925792724,22.28869977699764,9.689714389708646e-06,0.24192125778631682,0.00498842056162076,6.579287370270677e-06,0.21745561429823249,1.9321774865316002e-05,0.2224506141472235,1,0.1257667645886961,1.3781400314965044,0.23753839681080471,0.772566714063418,5.267467540358457,0.08287527563889603,0.060919327502506275,0.005072450157801805,0.008192764675360882,5.854390167481675,0.7751562871682749,11.735536465929261,0.27993381378343213,7.718061527411918,0.0002326347966110709,44.50304591806919
8,1,MS,1,sheath,StemElement,0.075132542,0.0003,0.059634001,16.37150248,0.000174251,False,0.01,0,2.2720842637279706,0.9754751945305228,0.8037230597213401,0.0007089025536092727,0.991096550888299,0.0015313286427552535,12.234225787075154,1.638340432586982e-06,0.047130914073751196,0.002693633281324599,6.204894250716454e-07,0.11972623639793119,1.0391284308251e-05,0.12242049016868085,1,0.06763758590914735,0.8037230597213401,0.23080017871778596,0.22051132455675654,5.267566050464823,0.05488823383264156,0.010341490417860758,0.002727972564454635,0.014652657209509501,10.3696975722375,0.2359190897136079,3.5736738386227036,0.27208416983076755,7.713142316485157,0.0001251114003981667,24.691752243187697
8,1,MS,2,blade,LeafElement1,0.24207145,0.0006,0.065969375,16.44880163,0.00028853,False,0.02,0,4.495058037481014,1.9505434303247546,1.3516662967965163,0.00041284578036073524,2.140453841223926,0.010076501813860253,23.122073953303715,1.0109885082039576e-05,0.2514415516866,0.004912201623067838,0.0,0.23224477941231775,1.903414376875e-05,0.23715698103538557,1,0.12389455395264626,1.3516662967965163,0.24899216319773612,0.7255081305979383,5.266467261876837,0.07154920051907397,-0.2012071219775355,0.004996939786144182,0.015,10.141089679434348,0.7278933286120888,11.020524919764192,0.24809099106403223,7.669246456392504,0.00022917170887119847,49.49265473584779
8,1,MS,2,sheath,StemElement,0.0,0.00036,0.0,0.0,1.26e-06,False,0.012,0,2.477764205878941,1.1685816686544277,0.20568574277670326,0.0,1.168386825353218,0.0,16.738121851657926,0.0,0.0,0.0,3.344330052672635e-05,0.04904643570301272,0.0,0.049079879003539446,1,0.0,0.20568574277670326,0.22745427918272082,0.0,5.258617508944925,-0.02517407154769936,0.46449028509342155,0.0,1.2057668748450705e-05,0.009468068881527974,0,0,0,7.3277670645551565,0.0,29.360436745517873
8,1,MS,3,blade,LeafElement1,0.273558072,0.00066,0.06596988,16.45392613,0.000229007,False,0.022,0,4.80349560756883,2.144715827253256,1.4492561274229423,0.0003975691921249121,2.431563499972262,0.009111052000595468,28.058869442190414,9.140777632725232e-06,0.2255281682202144,0.003893230250286651,2.7142276008544754e-05,0.2699104252629895,1.510756430916e-05,0.27383079778928465,1,0.09833617756251806,1.4492561274229423,0.2571725725085662,0.5963597673117034,5.264302485076174,0.0344953938955141,0.20562330309503601,0.003966114267357512,0.0008108048055143367,0.5932321377294272,0.598293015816068,9.059530768253024,0.17875253674410702,7.552449363442427,0.0001818955647112407,54.377916250398236
