t,plant,axis,organ,mstruct,Nstruct,senesced_mstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,Respi_growth,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen
0,1,MS,phloem,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,roots,0.150009736,0.004500195,0.0,NA,20,2.233310479,7.5,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.44250000000005
4,1,MS,phloem,NA,NA,NA,NA,59.420963499974484,NA,NA,NA,NA,NA,343.57760968295634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,MS,roots,0.150009736,0.004500195,0.0,NA,34.66193792224794,2.307102905663464,10.202393943484758,NA,NA,NA,103.72922645923666,19.98147049358039,25.1401172703197,3.9962940987160778,NA,0.6799393897164786,0.5383697475449821,NA,NA,NA,1.4757090814793588,0.00018419305144141702,2.6940182187408195,1.0342870745930344,0.03382578130424201,0.002554813372991281,2.2892096295672415,0.2998951777731778,NA,NA,NA,17.278748606035197,99.90735246790194,1.356095081977285,356.104437922248
8,1,MS,phloem,NA,NA,NA,NA,52.40376587929439,NA,NA,NA,NA,NA,300.1010714540788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,MS,roots,0.15012436,0.004502487,0.0,NA,40.17943788436465,2.0026667435922643,14.584725705007633,NA,NA,NA,121.04499917955764,10.210416048075286,24.65583726970782,2.042083209615057,NA,0.7238301655110723,0.6066134823044952,NA,NA,NA,1.7122063449813916,6.395284540022701e-05,3.0426499927969592,0.41627347944446114,0.016789224747907262,0.0007699943346864865,2.4351197278187073,0.49786479956123736,NA,NA,NA,8.914734118091987,51.052080240376426,1.527993658197721,361.78565217007895
12,1,MS,phloem,NA,NA,NA,NA,51.13250904117694,NA,NA,NA,NA,NA,289.73258588710297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,MS,roots,0.150310463,0.004506209,0.0,NA,37.080558391229474,1.571204083598957,18.869565215397035,NA,NA,NA,124.9047889079246,8.22371036317771,24.192386317098087,1.6447420726355422,NA,0.736289037995393,0.6114969597157113,NA,NA,NA,1.7755651359394913,0.00032626248573438003,3.123351133650596,1.959875214808899,0.11081576253424372,0.003081901198864958,2.473967168225167,0.5776278589839954,NA,NA,NA,7.256673308073399,41.11855181588855,1.5402946088556957,358.9526298198009
16,1,MS,phloem,NA,NA,NA,NA,66.38487482420456,NA,NA,NA,NA,NA,444.44777628400465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,MS,roots,0.150537845,0.004510757,0.0,NA,11.000876832261357,0.6663222899532477,19.971631909744666,NA,NA,NA,146.46927405756819,30.30559357500681,24.092155223000766,2.27616409238286,NA,0.7717062223547198,0.7003222832904434,NA,NA,NA,1.9522006493653412,0.002726620830677086,3.4242291550105044,4.859225628102197,0.98019121657905,0.010922651113214667,2.589054050500514,0.8181912219233728,NA,NA,NA,22.632951983367246,151.52796787503405,1.7640359780615704,333.1978054036899
