t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,20.0,1,700000,NA,NA
4,1,MS,20.0,1,698803.9387644312,698803.9387644312,0.007379999999999999
8,1,MS,20.0,1,696807.8744050468,696807.8744050468,0.007379999999999999
12,1,MS,20.0,1,694634.5048800153,694634.5048800153,0.007379999999999999
16,1,MS,20.0,1,691808.8635652696,691808.8635652696,0.007379999999999999
20,1,MS,20.0,1,687619.2467776613,687619.2467776613,0.007379999999999999
24,1,MS,20.0,1,682635.1154911397,682635.1154911397,0.007379999999999999
28,1,MS,20.0,1,677737.4690906623,677737.4690906623,0.007379999999999999
32,1,MS,20.0,1,673146.7703315725,673146.7703315725,0.007379999999999999
36,1,MS,20.0,1,668252.6428579572,668252.6428579572,0.007379999999999999
40,1,MS,20.0,1,662180.8413931194,662180.8413931194,0.007379999999999999
44,1,MS,20.0,1,655126.2676373365,655126.2676373365,0.007379999999999999
48,1,MS,20.0,1,648105.4094895101,648105.4094895101,0.007379999999999999
